team_name,affiliation,CTF Score,CTF position,CyberCup Score,score,Round
Tower of Hanoi,Politecnico di Milano,5666,2,50,50,1
Srdnlen,Università degli Studi di Cagliari,5467,4,48,48,1
TRX,Sapienza Università di Roma,5085,5,46,46,1
MadrHacks,Università degli Studi di Udine ,4646,7,40,40,1
Ulisse,Università di Bologna,4591,8,40,40,1
NasLab,Università di Catania,3859,10,40,40,1
ZenHack,Università degli studi di Genova,3425,14,35,35,1
0xFE,Università di Ferrara,2688,16,35,35,1
Pwnzer0tt1,Politecnico di Bari,2688,17,35,35,1
fibonhack,Università di Pisa,2078,20,35,35,1
pwnthenope,Università degli Studi di Napoli Parthenope,2027,21,25,25,1
V:HackaBoia,"Università degli Studi della Campania ""Luigi Vanvitelli""",1250,31,25,25,1
1manstanding,,980,42,25,25,1
MetaGriPwn Hacklab,Università di Messina,824,52,15,15,1
IngrifHackTeam,Università degli Studi di Perugia,699,61,15,15,1
Hack^3,,613,66,15,15,1
UnisH4ck,Università di Salerno,596,67,15,15,1
Tower of Hanoi,,4215,1,55,55,2
Srdnlen,,1957,13,35,35,2
TRX,,2518,7,40,40,2
MadrHacks,,3304,3,48,48,2
Ulisse,,1176,25,25,25,2
NasLab,,871,36,25,25,2
ZenHack,,860,37,25,25,2
0xFE,,606,54,15,15,2
Pwnzer0tt1,,3232,4,46,46,2
fibonhack,,0,0,0,0,2
pwnthenope,,1924,14,35,35,2
V:HackaBoia,,606,56,15,15,2
1manstanding,,0,0,0,0,2
MetaGriPwn Hacklab,,101,213,5,5,2
IngrifHackTeam,,417,71,15,15,2
Hack^3,,592,61,15,15,2
UnisH4ck,,201,127,5,5,2
Tower of Hanoi,,594,27,25,25,3
Srdnlen,,970,14,38,38,3
TRX,,310,44,25,25,3
MadrHacks,,604,26,26,26,3
Ulisse,,261,49,25,25,3
NasLab,,172,64,15,15,3
ZenHack,,560,30,25,25,3
0xFE,,172,69,15,15,3
Pwnzer0tt1,,429,36,25,25,3
fibonhack,,1104,10,45,45,3
pwnthenope,,100,130,5,5,3
V:HackaBoia,,268,47,25,25,3
1manstanding,,0,0,0,0,3
MetaGriPwn Hacklab,,50,244,1,1,3
IngrifHackTeam,,50,322,1,1,3
Hack^3,,100,115,5,5,3
UnisH4ck,,100,131,5,5,3
Tower of Hanoi,,10551,5,50,50,4
Srdnlen,,5525,10,41,41,4
TRX,,3869,14,35,35,4
MadrHacks,,5925,8,43,43,4
Ulisse,,0,0,0,0,4
NasLab,,0,0,0,0,4
ZenHack,,2857,16,35,35,4
0xFE,,0,0,0,0,4
Pwnzer0tt1,,1479,32,25,25,4
fibonhack,,0,0,0,0,4
pwnthenope,,2472,19,35,35,4
V:HackaBoia,,619,77,15,15,4
1manstanding,,0,0,0,0,4
MetaGriPwn Hacklab,,0,0,0,0,4
IngrifHackTeam,,200,195,5,5,4
Hack^3,,1479,31,25,25,4
UnisH4ck,,0,0,0,0,4
